time,where,behavior
3,out,fast
4,out,fast
5,out,fast
6,out,fast
7,out,fast
8,out,fast
9,out,fast
10,out,fast
11,out,fast
12,out,fast
13,out,fast
14,out,stop
15,out,slow
16,out,slow
17,out,slow
18,out,slow
19,out,slow
20,out,slow
21,out,slow
22,out,striving
23,out,striving
24,out,striving
25,out,striving
26,out,striving
27,out,striving
28,out,striving
29,out,striving
30,out,striving
31,out,striving
32,out,striving
33,out,striving
34,out,striving
35,out,striving
36,out,striving
37,out,striving
38,out,striving
39,out,striving
40,out,striving
41,out,striving
42,out,striving
43,out,striving
44,out,striving
45,out,striving
46,out,striving
47,out,striving
48,out,striving
49,out,striving
50,out,premark
51,out,premark
52,out,mark
53,out,premark
54,out,mark
55,out,mark
56,out,mark
57,out,mark
58,out,mark
59,out,premark
60,out,mark
61,out,between
62,out,mark
63,out,mark
