time,where,behavior
3,out,fast
4,out,fast
5,out,fast
6,out,fast
7,out,fast
8,out,fast
9,out,fast
10,out,back_to_op
11,out,with_op
12,out,fast
13,out,fast
14,out,fast
15,out,fast
16,out,fast
17,out,fast
18,out,fast
19,out,fast
20,out,fast
21,out,fast
22,out,fast
23,out,fast
24,out,fast
25,out,distraction
26,out,distraction
27,out,distraction
28,out,distraction
29,out,distraction
30,out,distraction
31,out,distraction
32,out,distraction
33,out,distraction
34,out,back_to_op
35,out,with_op
36,out,fast
37,out,fast
38,out,fast
39,out,fast
40,out,fast
41,out,fast
42,out,fast
43,out,fast
44,out,fast
45,out,distraction
46,out,distraction
47,out,distraction
48,out,distraction
49,out,distraction
50,out,distraction
51,out,distraction
52,out,distraction
53,out,distraction
54,out,distraction
55,out,back_to_op
56,out,back_to_op
57,out,back_to_op
58,out,back_to_op
59,out,back_to_op
60,out,back_to_op
61,out,back_to_op
62,out,fast
63,out,fast
64,out,fast
65,out,fast
66,out,fast
67,out,fast
68,out,fast
69,out,fast
70,out,fast
71,out,fast
72,out,fast
73,out,distraction
74,out,distraction
75,out,distraction
76,out,distraction
77,out,distraction
78,out,back_to_op
79,out,back_to_op
80,out,back_to_op
81,out,back_to_op
82,out,back_to_op
83,out,fast
84,out,fast
85,out,fast
86,out,fast
87,out,fast
88,out,distraction
89,out,distraction
90,out,distraction
91,out,distraction
92,out,distraction
93,out,back_to_op
94,out,with_op
95,out,with_op
96,out,with_op
97,out,with_op
98,out,with_op
99,out,with_op
100,out,with_op
101,out,fast
102,out,fast
103,in,fast
104,in,fast
105,in,fast
106,in,fast
107,in,fast
108,in,fast
109,in,fast
110,in,fast
111,in,fast
112,in,fast
113,in,fast
114,in,fast
115,in,distraction
116,in,distraction
117,in,distraction
118,in,distraction
119,in,distraction
120,in,fast
121,in,fast
122,in,fast
123,in,fast
124,in,fast
125,in,fast
126,in,fast
127,in,fast
128,in,fast
129,in,fast
130,in,fast
131,in,fast
132,in,fast
133,in,fast
134,in,fast
135,in,distraction
136,in,distraction
137,in,distraction
138,in,distraction
139,in,distraction
140,in,distraction
141,in,distraction
142,in,fast
143,in,fast
144,in,fast
145,in,fast
146,in,fast
147,in,fast
148,in,fast
149,in,fast
150,in,distraction
151,in,distraction
152,in,distraction
153,in,distraction
154,in,distraction
155,in,distraction
156,in,distraction
157,in,distraction
158,in,distraction
159,in,distraction
160,in,fast
161,in,fast
162,in,fast
163,in,fast
164,in,fast
165,in,fast
166,in,fast
167,in,distraction
168,in,distraction
169,in,distraction
170,in,distraction
171,in,distraction
172,in,distraction
173,in,distraction
174,in,fast
175,in,fast
176,in,fast
177,in,fast
178,in,fast
179,in,fast
180,in,fast
181,in,fast
182,in,fast
183,in,fast
184,in,fast
185,in,fast
186,in,fast
187,in,fast
188,in,fast
189,in,fast
190,in,fast
191,in,distraction
192,in,distraction
193,in,distraction
194,in,distraction
195,in,distraction
196,in,fast
197,in,fast
198,in,fast
199,in,fast
200,in,fast
201,in,fast
202,in,distraction
203,in,distraction
204,in,distraction
205,in,distraction
206,in,distraction
207,in,distraction
208,in,fast
209,in,fast
210,in,fast
211,in,fast
212,in,stop
213,in,stop
214,in,stop
215,in,fast
216,in,fast
217,in,fast
218,in,fast
219,in,fast
220,in,fast
221,in,fast
222,in,distraction
223,in,distraction
224,in,distraction
225,in,distraction
226,in,distraction
227,in,distraction
228,in,distraction
229,in,distraction
230,in,distraction
231,in,fast
232,in,fast
233,in,fast
234,in,fast
235,in,distraction
236,in,distraction
237,in,distraction
238,in,distraction
239,in,distraction
240,in,distraction
241,in,fast
242,in,stop
243,in,stop
244,in,distraction
245,in,distraction
246,in,distraction
247,in,distraction
248,in,distraction
249,in,distraction
250,in,distraction
251,in,distraction
252,in,distraction
253,in,distraction
254,in,distraction
255,in,distraction
256,in,distraction
257,in,distraction
258,in,distraction
259,in,distraction
260,in,distraction
261,in,distraction
262,in,distraction
263,in,distraction
264,in,distraction
265,in,distraction
266,in,distraction
267,in,distraction
268,in,distraction
269,in,distraction
270,in,distraction
271,in,distraction
272,in,distraction
273,in,distraction
274,in,distraction
275,in,distraction
276,in,distraction
277,in,distraction
278,in,distraction
279,in,distraction
280,in,distraction
281,in,distraction
282,in,distraction
283,in,distraction
284,in,distraction
285,in,distraction
286,in,distraction
287,in,fast
288,in,fast
289,in,fast
290,in,fast
291,in,fast
292,in,fast
293,in,fast
294,in,fast
295,in,distraction
296,in,distraction
297,in,distraction
298,in,distraction
299,in,distraction
300,in,distraction
301,in,distraction
302,in,distraction
303,in,distraction
304,in,distraction
305,in,distraction
306,in,distraction
307,in,distraction
308,in,distraction
309,in,distraction
310,in,distraction
311,in,distraction
312,in,distraction
313,in,distraction
314,in,distraction
315,in,distraction
316,in,distraction
317,in,distraction
318,in,distraction
319,in,distraction
320,in,fast
321,in,fast
322,in,fast
323,in,fast
324,in,distraction
325,in,distraction
326,in,distraction
327,in,distraction
328,in,distraction
329,in,distraction
330,in,distraction
331,in,distraction
332,in,distraction
333,in,fast
334,in,fast
335,in,fast
336,in,fast
337,in,fast
338,in,fast
339,in,distraction
340,in,distraction
341,in,distraction
342,in,distraction
343,in,distraction
344,in,distraction
345,in,distraction
346,in,distraction
347,in,distraction
348,in,distraction
349,in,distraction
350,in,distraction
351,in,distraction
352,in,distraction
353,in,distraction
354,in,distraction
355,in,distraction
356,in,distraction
357,in,distraction
358,in,distraction
359,in,distraction
360,in,distraction
361,in,fast
362,in,fast
363,in,fast
364,in,fast
365,in,distraction
366,in,distraction
367,in,distraction
368,in,distraction
369,in,distraction
370,in,distraction
371,in,distraction
372,in,distraction
373,in,distraction
374,in,distraction
375,in,distraction
376,in,distraction
377,in,distraction
378,in,fast
379,in,distraction
380,in,distraction
381,in,distraction
382,in,distraction
383,in,distraction
384,in,distraction
385,in,distraction
386,in,distraction
387,in,distraction
388,in,distraction
389,in,distraction
390,in,distraction
391,in,distraction
392,in,distraction
393,in,distraction
394,in,distraction
395,in,distraction
396,in,distraction
397,in,distraction
398,in,distraction
399,in,distraction
400,in,distraction
401,in,distraction
402,in,distraction
403,in,distraction
404,in,distraction
405,in,distraction
406,in,distraction
407,in,distraction
408,in,distraction
409,in,distraction
410,in,distraction
411,in,distraction
412,in,distraction
413,in,distraction
414,in,distraction
415,in,distraction
416,in,fast
417,in,fast
418,in,distraction
419,in,distraction
420,in,distraction
421,in,distraction
422,in,distraction
423,in,distraction
424,in,distraction
425,in,distraction
426,in,distraction
427,in,distraction
428,in,distraction
429,in,distraction
430,in,distraction
431,in,distraction
432,in,distraction
433,in,distraction
434,in,distraction
435,in,distraction
436,in,distraction
437,in,distraction
438,in,distraction
439,in,distraction
440,in,distraction
441,in,distraction
442,in,fast
443,in,distraction
444,in,distraction
445,in,distraction
446,in,distraction
447,in,distraction
448,in,distraction
449,in,distraction
450,in,distraction
451,in,distraction
452,in,distraction
453,in,distraction
454,in,distraction
455,in,distraction
456,in,distraction
457,in,distraction
458,in,distraction
459,in,distraction
460,in,distraction
461,in,distraction
462,in,fast
463,in,fast
464,in,fast
465,in,fast
466,in,fast
467,in,distraction
468,in,distraction
469,in,distraction
470,in,distraction
471,in,distraction
472,in,distraction
473,in,fast
474,in,focus
475,in,focus
476,in,focus
477,in,focus
478,in,focus
479,in,focus
480,in,fast
481,in,fast
482,in,fast
483,in,fast
484,in,fast
485,in,fast
486,in,fast
487,in,fast
488,in,fast
489,in,distraction
490,in,distraction
491,in,distraction
492,in,distraction
493,in,distraction
494,in,distraction
495,in,distraction
496,in,distraction
497,in,distraction
498,in,distraction
499,in,distraction
500,in,distraction
501,in,distraction
502,in,fast
503,in,fast
504,in,fast
505,in,fast
506,in,fast
507,in,fast
508,in,fast
509,in,fast
510,in,fast
511,in,fast
512,in,fast
513,in,fast
514,in,stop
515,in,fast
516,in,fast
517,in,fast
518,in,fast
519,in,fast
520,in,fast
521,in,fast
522,in,fast
523,in,fast
524,in,fast
525,in,fast
526,in,stop
527,in,stop
528,in,fast
529,in,fast
530,in,fast
531,in,fast
532,in,fast
533,in,fast
534,in,fast
535,in,fast
536,in,fast
537,in,fast
538,in,fast
539,in,stop
540,in,fast
541,in,fast
542,in,fast
543,in,fast
544,in,fast
545,in,fast
546,in,fast
547,in,fast
548,in,fast
549,in,fast
550,in,fast
551,in,fast
552,in,fast
553,in,fast
554,in,fast
555,in,fast
556,in,distraction
557,in,distraction
558,in,distraction
559,in,distraction
560,in,distraction
561,in,distraction
562,in,distraction
563,in,distraction
564,in,distraction
565,in,distraction
566,in,distraction
567,in,distraction
568,in,distraction
569,in,distraction
570,in,distraction
571,in,distraction
572,in,distraction
573,in,distraction
