time,where,behavior
3,out,fast
4,out,fast
5,out,fast
6,out,fast
7,out,distraction
8,out,distraction
9,out,distraction
10,out,distraction
11,out,distraction
12,out,distraction
13,out,distraction
14,out,fast
15,out,fast
16,out,fast
17,out,fast
18,out,fast
19,out,fast
20,out,fast
21,out,fast
22,out,fast
23,out,fast
24,out,fast
25,out,fast
26,out,fast
27,out,fast
28,out,fast
29,out,fast
30,out,fast
31,out,fast
32,out,fast
33,out,fast
34,out,focus
35,out,fast
36,out,fast
37,in,fast
38,in,fast
39,in,fast
40,in,fast
41,in,fast
42,in,fast
43,in,stop
44,in,fast
45,in,fast
46,in,fast
47,in,fast
48,in,fast
49,in,fast
50,in,fast
51,in,fast
52,in,fast
53,in,fast
54,in,fast
55,in,fast
56,in,fast
57,in,fast
58,in,fast
59,in,fast
60,in,fast
61,in,fast
62,in,fast
63,in,fast
64,in,fast
65,in,premark
66,in,premark
67,in,mark
68,in,mark
69,in,mark
70,in,mark
71,in,mark
72,in,mark
73,in,mark
74,in,mark
75,in,mark
76,in,mark
77,in,back_to_op
78,in,back_to_op
