time,where,behavior
3,out,fast
4,out,fast
5,out,fast
6,out,slow
7,out,slow
8,out,slow
9,out,slow
10,out,slow
11,out,focus
12,out,striving
13,out,striving
14,in,premark
15,in,mark
16,in,mark
17,in,mark
18,in,mark
19,in,between
20,in,mark
21,in,mark
22,in,mark
23,in,mark
24,in,mark
25,in,mark
26,in,mark
27,in,between
28,in,mark
29,in,mark
30,in,mark
31,in,between
32,in,mark
33,in,mark
34,in,mark
35,in,mark
36,in,mark
37,in,mark
38,in,mark
39,in,between
40,in,between
41,in,mark
42,in,mark
43,in,mark
44,in,back_to_op
