time,where,behavior
3,out,fast
4,out,fast
5,out,fast
6,out,fast
7,out,fast
8,out,fast
9,out,fast
10,out,fast
11,out,fast
12,out,fast
13,out,fast
14,out,stop
15,out,fast
16,out,fast
17,out,fast
18,out,stop
19,out,fast
20,out,fast
21,out,fast
22,out,fast
23,out,fast
24,out,fast
25,out,fast
26,out,fast
27,out,stop
28,out,stop
29,out,stop
30,out,fast
31,out,fast
32,out,fast
33,out,fast
34,out,fast
35,out,fast
36,out,fast
37,out,fast
38,out,fast
39,out,fast
40,out,fast
41,out,fast
42,out,stop
43,out,stop
44,out,stop
45,out,stop
46,out,stop
47,out,fast
48,out,fast
49,out,fast
50,out,fast
51,out,fast
52,out,fast
53,out,fast
54,out,fast
55,out,stop
56,out,fast
57,out,fast
58,out,fast
59,out,focus
60,out,focus
61,out,focus
62,out,focus
63,out,focus
64,out,premark
65,out,premark
66,out,premark
67,out,mark
68,out,mark
69,out,mark
70,out,mark
71,out,mark
72,out,mark
73,out,mark
74,out,back_to_op
75,out,back_to_op
76,out,back_to_op
77,out,back_to_op
