time,where,behavior
3,out,fast
4,out,fast
5,out,fast
6,out,fast
7,out,fast
8,out,fast
9,out,stop
10,out,stop
11,out,fast
12,out,fast
13,out,fast
14,out,fast
15,out,fast
16,out,fast
17,out,fast
18,out,fast
19,out,fast
20,out,fast
21,out,stop
22,out,stop
23,out,stop
24,out,stop
25,out,fast
26,out,fast
27,out,fast
28,out,fast
29,out,fast
30,in,fast
31,in,fast
32,in,fast
33,in,fast
34,in,fast
35,in,fast
36,in,fast
37,in,focus
38,in,fast
39,in,fast
40,in,fast
41,in,fast
42,in,fast
43,in,fast
44,in,fast
45,in,fast
46,in,focus
47,in,focus
48,in,focus
49,in,focus
50,in,focus
51,in,focus
52,in,focus
53,in,focus
54,in,fast
55,in,fast
56,in,fast
57,in,fast
58,in,fast
59,in,fast
60,in,fast
61,in,fast
62,in,fast
63,in,fast
64,in,stop
65,in,fast
66,in,fast
67,in,fast
68,in,fast
69,in,fast
70,in,fast
71,in,fast
72,in,fast
73,in,fast
74,in,fast
75,in,fast
76,in,fast
77,in,fast
78,in,fast
79,in,fast
80,in,focus
81,in,focus
82,in,focus
83,in,fast
84,in,fast
85,in,fast
86,in,fast
87,in,fast
88,in,fast
89,in,fast
90,in,fast
91,in,fast
92,in,fast
93,in,fast
94,in,fast
95,in,fast
96,in,fast
97,in,fast
98,in,fast
99,in,fast
100,in,fast
101,in,stop
102,in,fast
103,in,fast
104,in,fast
105,in,fast
106,in,fast
107,in,fast
108,in,fast
109,in,fast
110,in,fast
111,in,fast
112,in,fast
113,in,fast
114,in,fast
115,in,fast
116,in,fast
117,in,fast
118,in,fast
119,in,fast
120,in,fast
121,in,fast
122,in,fast
123,in,fast
124,in,fast
125,in,fast
126,in,fast
127,in,fast
128,in,focus
129,in,focus
130,in,focus
131,in,focus
132,in,focus
133,in,focus
134,in,focus
135,in,focus
136,in,focus
137,in,focus
138,in,focus
139,in,focus
140,in,focus
141,in,focus
142,in,focus
143,in,focus
144,in,focus
145,in,focus
146,in,focus
147,in,focus
148,in,focus
149,in,focus
150,in,focus
151,in,focus
152,in,focus
153,in,focus
154,in,focus
155,in,focus
156,in,focus
157,in,focus
158,in,focus
159,in,focus
160,in,focus
161,in,focus
162,in,focus
163,in,focus
164,in,focus
165,in,focus
166,in,fast
167,in,fast
168,in,fast
169,in,fast
170,in,fast
171,in,fast
172,in,fast
173,in,fast
174,in,fast
175,in,focus
176,in,focus
177,in,focus
178,in,focus
179,in,fast
180,in,fast
181,in,fast
182,in,fast
183,in,fast
184,in,fast
185,in,fast
186,in,fast
187,in,fast
188,in,fast
189,in,fast
190,in,fast
191,in,fast
192,in,fast
193,in,stop
194,in,fast
195,in,fast
196,in,fast
197,in,fast
198,in,fast
199,in,fast
200,in,fast
201,in,fast
202,in,fast
203,in,fast
204,in,fast
205,in,focus
206,in,focus
207,in,focus
208,in,focus
209,in,focus
210,in,fast
211,in,fast
212,in,fast
213,in,fast
214,in,fast
215,in,fast
216,in,fast
217,in,fast
218,in,fast
219,in,stop
220,in,stop
221,in,stop
222,in,fast
223,in,fast
224,in,fast
225,in,fast
226,in,fast
227,in,fast
228,in,fast
229,in,fast
230,in,focus
231,in,fast
232,in,fast
233,in,fast
234,in,fast
235,in,fast
236,in,fast
237,in,fast
238,in,fast
239,in,fast
240,in,fast
241,in,fast
242,in,focus
243,in,focus
244,in,focus
245,in,focus
246,in,focus
247,in,focus
248,in,focus
249,in,focus
250,in,focus
251,in,focus
252,in,focus
253,in,focus
254,in,focus
255,in,focus
256,in,focus
257,in,stop
258,in,stop
259,in,stop
260,in,stop
261,in,stop
262,in,stop
263,in,stop
264,in,stop
265,in,stop
266,in,fast
267,in,fast
268,in,fast
269,in,fast
270,in,stop
271,in,stop
272,in,stop
273,in,fast
274,in,fast
275,in,fast
276,in,fast
277,in,fast
278,in,fast
279,in,fast
280,in,fast
281,in,fast
282,in,fast
283,in,fast
284,in,fast
285,in,fast
286,in,fast
287,in,fast
288,in,fast
289,in,fast
290,in,fast
291,in,fast
292,in,fast
293,in,focus
294,in,stop
295,in,stop
296,in,stop
297,in,stop
298,in,slow
299,in,slow
300,in,slow
301,in,slow
302,in,slow
303,in,stop
304,in,stop
305,in,stop
306,in,stop
307,in,stop
308,in,slow
309,in,slow
310,in,slow
311,in,slow
312,in,slow
313,in,slow
314,in,slow
315,in,slow
316,in,slow
317,in,slow
318,in,slow
319,in,slow
320,in,stop
321,in,stop
322,in,stop
323,in,stop
324,in,stop
325,in,stop
326,in,stop
327,in,stop
328,in,stop
329,in,stop
330,in,stop
331,in,stop
332,in,slow
333,in,slow
334,in,slow
335,in,slow
336,in,stop
337,in,fast
338,in,fast
339,in,fast
340,in,fast
341,in,fast
342,in,fast
343,in,fast
344,in,fast
345,in,fast
346,in,fast
347,in,fast
348,in,fast
349,in,fast
350,in,fast
351,in,fast
352,in,fast
353,in,fast
354,in,fast
355,in,fast
356,in,fast
357,in,stop
358,in,stop
359,in,stop
360,in,stop
361,in,stop
362,in,stop
363,in,fast
364,in,fast
365,in,fast
366,in,fast
367,in,fast
368,in,fast
369,in,fast
370,in,fast
371,in,fast
372,in,fast
373,in,fast
374,in,fast
375,in,fast
376,in,fast
377,in,fast
378,in,fast
379,in,fast
380,in,stop
381,in,stop
382,in,stop
383,in,stop
384,in,fast
385,in,fast
386,in,fast
387,in,fast
388,in,fast
389,in,fast
390,in,fast
391,in,focus
392,in,focus
393,in,focus
394,in,focus
395,in,focus
396,in,focus
397,in,back_to_op
398,in,back_to_op
399,in,back_to_op
400,out,back_to_op
401,out,back_to_op
402,out,back_to_op
403,out,back_to_op
404,out,back_to_op
405,out,back_to_op
406,out,back_to_op
407,out,back_to_op
408,out,with_op
409,out,with_op
410,out,with_op
411,out,with_op
412,out,with_op
413,out,with_op
414,out,with_op
415,out,with_op
416,out,with_op
417,out,with_op
418,out,with_op
419,out,with_op
420,out,with_op
421,out,with_op
422,out,with_op
423,out,with_op
424,out,with_op
425,out,with_op
426,out,with_op
427,out,with_op
428,out,with_op
429,out,with_op
430,out,fast
431,out,fast
432,out,fast
433,out,fast
434,out,fast
435,out,fast
436,out,fast
437,out,fast
438,in,fast
439,in,fast
440,in,fast
441,in,fast
442,in,fast
443,in,fast
444,in,fast
445,in,fast
446,in,fast
447,in,fast
448,in,fast
449,in,fast
450,in,fast
451,in,fast
452,in,fast
453,in,stop
454,in,stop
455,in,stop
456,in,stop
457,in,fast
458,in,fast
459,in,fast
460,in,fast
461,in,fast
462,in,focus
463,in,focus
464,in,focus
465,in,focus
466,in,focus
467,in,focus
468,in,focus
469,in,focus
470,in,focus
471,in,fast
472,in,fast
473,in,fast
474,in,fast
475,in,fast
476,in,fast
477,in,fast
478,in,stop
479,in,stop
480,in,stop
481,in,stop
482,in,stop
483,in,stop
484,in,stop
485,in,stop
486,in,stop
487,in,focus
488,in,focus
489,in,focus
490,in,focus
491,in,focus
492,in,fast
493,in,fast
494,in,fast
495,in,fast
496,in,fast
497,in,stop
498,in,stop
499,in,stop
500,in,stop
501,in,stop
502,in,stop
503,in,stop
504,in,fast
505,in,fast
506,in,fast
507,in,fast
508,in,fast
509,in,fast
510,in,fast
511,in,fast
512,out,fast
513,out,fast
514,out,fast
515,out,fast
516,out,fast
517,out,fast
518,out,fast
519,out,fast
520,out,fast
521,out,fast
522,out,fast
523,out,fast
524,out,fast
525,out,fast
526,out,fast
527,out,fast
528,in,fast
529,in,fast
530,in,fast
531,in,fast
532,in,fast
533,in,fast
534,in,fast
535,in,fast
536,in,fast
537,in,fast
538,in,fast
539,in,fast
540,in,fast
541,in,fast
542,in,fast
543,in,fast
544,in,fast
545,in,fast
546,in,fast
547,in,fast
548,in,focus
549,in,focus
550,in,focus
551,in,focus
552,in,striving
553,in,striving
554,in,striving
555,in,striving
556,in,striving
557,in,striving
558,in,striving
559,in,striving
560,in,striving
561,in,striving
562,in,striving
563,in,striving
564,in,striving
565,in,striving
566,in,striving
567,in,striving
568,in,striving
569,in,striving
570,in,striving
571,in,striving
572,in,striving
573,in,focus
574,in,focus
575,in,focus
576,in,focus
577,in,striving
578,in,striving
579,in,striving
580,in,striving
581,in,striving
582,in,striving
583,in,striving
584,in,striving
585,in,striving
586,in,striving
587,in,striving
588,in,striving
589,in,striving
590,in,striving
591,in,striving
592,in,striving
593,in,striving
594,in,striving
595,in,striving
596,in,striving
597,in,premark
598,in,premark
599,in,premark
600,in,premark
601,in,mark
602,in,mark
603,in,mark
604,in,mark
605,in,mark
606,in,mark
607,in,mark
608,in,mark
609,in,mark
610,in,mark
611,in,mark
612,in,mark
613,in,mark
614,in,mark
615,in,mark
616,in,mark
617,in,mark
