time,where,behavior
3,out,fast
4,out,fast
5,out,fast
6,out,fast
7,out,fast
8,out,fast
9,out,fast
10,out,fast
11,out,fast
12,out,fast
13,out,fast
14,out,fast
15,out,fast
16,out,fast
17,out,fast
18,in,fast
19,in,fast
20,in,focus
21,in,focus
22,in,focus
23,in,focus
24,in,mark
25,in,mark
26,in,mark
27,in,mark
28,in,mark
29,in,mark
30,in,mark
31,in,mark
32,in,mark
33,in,mark
34,in,mark
35,in,mark
36,in,mark
37,in,mark
38,in,mark
39,in,mark
40,in,mark
41,in,mark
42,in,mark
43,in,mark
44,in,mark
45,in,mark
46,in,mark
47,in,mark
48,in,mark
49,in,mark
50,in,mark
51,in,mark
52,in,mark
53,in,mark
54,in,mark
55,in,mark
56,in,mark
57,in,mark
58,in,mark
59,in,mark
60,in,mark
61,in,mark
62,in,mark
63,in,mark
64,in,mark
65,in,mark
66,in,mark
67,in,mark
68,in,mark
69,in,mark
70,in,mark
71,in,mark
72,in,mark
73,in,mark
74,in,mark
75,in,mark
76,in,mark
77,in,mark
78,in,mark
79,in,mark
80,in,mark
81,in,mark
82,in,mark
83,in,mark
84,in,mark
85,in,mark
86,in,mark
87,in,mark
88,in,mark
89,in,between
90,in,mark
91,in,mark
92,in,mark
93,in,mark
94,in,mark
95,in,mark
96,in,between
97,in,back_to_op
