time,where,behavior
3,out,fast
4,out,fast
5,out,fast
6,out,fast
7,out,fast
8,out,fast
9,out,fast
10,out,fast
11,out,fast
12,out,fast
13,out,fast
14,out,fast
15,out,stop
16,out,fast
17,out,fast
18,out,fast
19,out,fast
20,out,fast
21,out,fast
22,out,fast
23,out,fast
24,out,fast
25,out,fast
26,out,fast
27,out,stop
28,out,fast
29,out,fast
30,out,fast
31,out,fast
32,out,fast
33,out,fast
34,out,fast
35,out,fast
36,out,fast
37,out,stop
38,out,stop
39,out,stop
40,out,focus
41,out,fast
42,out,fast
43,out,fast
44,out,fast
45,out,stop
46,out,fast
47,out,fast
48,out,fast
49,out,stop
50,out,fast
51,out,fast
52,out,fast
53,out,fast
54,out,fast
55,out,fast
56,out,fast
57,out,fast
58,out,fast
59,out,fast
60,out,fast
61,out,fast
62,out,fast
63,out,fast
64,out,fast
65,out,fast
66,out,fast
67,out,fast
68,out,fast
69,out,fast
70,in,fast
71,in,fast
72,in,stop
73,in,stop
74,in,stop
75,in,slow
76,in,slow
77,in,slow
78,in,slow
79,in,slow
80,in,slow
81,in,slow
82,in,slow
83,in,slow
84,in,slow
85,in,slow
86,in,slow
87,in,slow
88,in,slow
89,in,stop
90,in,slow
91,in,slow
92,in,slow
93,in,slow
94,in,slow
95,in,slow
96,in,premark
97,in,mark
98,in,mark
99,in,mark
100,in,mark
101,in,mark
102,in,mark
103,in,mark
104,in,mark
105,in,mark
106,in,mark
107,in,mark
108,in,mark
109,in,mark
110,in,mark
111,in,mark
112,in,mark
113,in,mark
114,in,mark
115,in,between
116,in,between
117,in,striving
118,in,striving
119,in,striving
120,in,striving
121,in,striving
122,in,mark
123,in,mark
124,in,mark
125,in,mark
126,in,mark
127,in,mark
128,in,mark
129,in,mark
130,in,mark
131,in,mark
132,in,mark
133,in,between
134,in,between
135,in,mark
136,in,mark
137,in,mark
138,in,mark
139,in,mark
140,in,mark
141,in,mark
142,in,mark
143,in,mark
144,in,mark
145,in,mark
146,in,mark
147,in,mark
148,in,mark
149,in,mark
150,in,mark
151,in,between
152,in,mark
153,in,mark
154,in,mark
155,in,mark
156,in,mark
157,in,mark
158,in,mark
159,in,between
160,in,mark
161,in,mark
162,in,mark
163,in,mark
164,in,mark
165,in,mark
166,in,mark
167,in,mark
168,in,mark
169,in,mark
170,in,mark
171,in,mark
172,in,mark
173,in,mark
174,in,between
175,in,mark
176,in,mark
