date,site,run,dog,sess,handler,speed,temperature,humidity,radiation,ground
13.11.2022,acre1,1,tochka,1,Uriel,0.276,26.43,43.02,506.88,31.45
13.11.2022,acre1,1,tochka,2,Uriel,0.443,28.56,39.07,543.07,32.73
13.11.2022,acre1,2,gibor,1,Shaked,0.633,28.6,39.59,562.01,33.08
13.11.2022,acre1,2,gibor,2,Shaked,0.49,28.74,39.5,580.1,33.95
13.11.2022,acre1,3,chuck,1,Uriel,0.41,29.33,40.15,587.59,34.66
13.11.2022,acre1,4,black,1,Shaked,0.642,29.43,39.95,602.19,35.69
13.11.2022,acre1,4,black,2,Shaked,0.895,28.56,41.78,614.46,35.84
13.11.2022,acre1,5,hugo,1,Shaked,0.584,29.4,40.73,612.74,36.87
13.11.2022,acre1,5,hugo,2,Shaked,0.607,29.74,39.28,620.63,37.34
13.11.2022,acre1,6,freddy,1,Shaked,0.427,30.81,38.42,417.99,35.39
13.11.2022,acre1,6,freddy,2,Shaked,0.513,30.43,39.5,390.16,35.56
13.11.2022,acre1,7,choco,1,Shaked,0.488,30.01,42.75,344.27,34.9
13.11.2022,acre1,7,choco,2,Shaked,0.664,29.26,43.77,312.5,34.14
14.09.2022,hadasa1,1,tochka,1,Uriel,3.253,29.51,52.02,769.57,40.25
14.09.2022,hadasa2,1,tochka,2,Uriel,3.39,29.44,51.53,799.18,40.35
14.09.2022,hadasa1,2,gibor,1,Uriel,3.654,29.36,52.97,809.21,40.59
14.09.2022,hadasa2,2,gibor,2,Uriel,3.654,29.36,52.97,809.21,40.59
14.09.2022,hadasa1,3,chuck,1,Uriel,3.254,29.76,52.29,830.87,41.78
14.09.2022,hadasa2,3,chuck,2,Uriel,3.254,29.76,52.29,830.87,41.78
14.09.2022,hadasa1,4,freddy,1,Uriel,3.255,30.05,52.79,852.85,42.62
14.09.2022,hadasa2,4,freddy,2,Uriel,3.386,30.06,51.43,857.1,42.59
14.09.2022,hadasa1,5,hugo,1,Uriel,3.694,29.56,52.14,886.28,42.54
14.09.2022,hadasa2,5,hugo,2,Uriel,3.694,29.56,52.14,886.28,42.54
14.09.2022,hadasa1,6,choco,1,Uriel,3.569,30.04,50.4,898.68,43.16
14.09.2022,hadasa2,6,choco,2,Uriel,3.472,30.03,49.88,904.31,43.41
14.09.2022,hadasa2,7,tochka,1,Sarah,3.312,30.46,48.77,922.64,44.58
14.09.2022,hadasa1,7,tochka,2,Sarah,3.779,30.32,48.42,927.34,44.23
14.09.2022,hadasa2,8,gibor,1,Sarah,3.614,29.96,50.63,924.05,44.3
14.09.2022,hadasa1,8,gibor,2,Sarah,3.614,29.96,50.63,924.05,44.3
14.09.2022,hadasa2,9,chuck,1,Sarah,3.525,30.46,50.58,920.73,44.86
14.09.2022,hadasa1,9,chuck,2,Sarah,3.525,30.46,50.58,920.73,44.86
14.09.2022,hadasa2,10,freddy,1,Sarah,2.827,30.87,49.84,936.71,45.63
14.09.2022,hadasa1,10,freddy,2,Sarah,23.51,30.61,50.98,978.76,46.18
14.09.2022,hadasa2,11,hugo,1,Sarah,3.599,30.45,51.72,931.36,45.26
14.09.2022,hadasa1,11,hugo,2,Sarah,3.599,30.45,51.72,931.36,45.26
14.09.2022,hadasa2,12,choco,1,Sarah,13.47,30.2,52.84,721.69,42.28
14.09.2022,hadasa1,12,choco,2,Sarah,92.9,31.01,49.81,898.13,44.74
15.08.2022,hadasa1,1,gibor,1,Uriel,2.129,29.54,61.63,725.08,41.98
15.08.2022,hadasa2,1,gibor,2,Uriel,2.529,29.54,60.37,761.46,42.51
15.08.2022,hadasa2,2,freddy,1,Uriel,2.569,29.43,59.56,781.1,42.94
15.08.2022,hadasa1,2,freddy,2,Uriel,2.569,29.43,59.56,781.1,42.94
15.08.2022,hadasa1,3,hugo,1,Uriel,2.212,29.76,59.8,800.67,44.27
15.08.2022,hadasa2,3,hugo,2,Uriel,1.791,30,59.44,824.69,45.77
15.08.2022,hadasa2,4,choco,1,Uriel,2.369,29.65,60.87,847.98,45.58
15.08.2022,hadasa1,4,choco,2,Uriel,2.376,30.12,59.85,867.67,46.18
15.08.2022,hadasa1,5,gibor,1,Uriel,2.74,29.85,61.4,868.34,46.21
15.08.2022,hadasa2,5,gibor,2,Uriel,2.74,29.85,61.4,868.34,46.21
15.08.2022,hadasa2,6,freddy,1,Uriel,2.801,29.82,59.98,938.44,46.82
15.08.2022,hadasa1,6,freddy,2,Uriel,2.395,29.97,59.73,948.37,48.06
16.11.2022,hadasa1,1,tochka,1,Uriel,2.841,21.62,57.21,345.81,20.8
16.11.2022,hadasa2,1,tochka,2,Uriel,2.723,21.74,58.87,339.4,21.07
16.11.2022,hadasa2,2,gibor,1,Uriel,2.723,21.74,58.87,339.4,21.07
16.11.2022,hadasa1,2,gibor,2,Uriel,2.972,21.83,61.62,464.83,22.33
16.11.2022,hadasa1,3,freddy,1,Uriel,2.465,21.62,62.73,188.72,20.82
16.11.2022,hadasa2,3,freddy,2,Uriel,2.465,21.62,62.73,188.72,20.82
16.11.2022,hadasa2,4,choco,1,Uriel,4.425,21.09,65.6,135.81,19.52
16.11.2022,hadasa1,4,choco,2,Uriel,5.213,20.35,67.18,193.57,19.43
16.11.2022,hadasa2,5,tochka,1,Uriel,3.012,20.37,64.77,147.33,19.44
16.11.2022,hadasa1,5,tochka,2,Uriel,3.012,20.37,64.77,147.33,19.44
16.11.2022,hadasa1,6,gibor,1,Uriel,3.041,20.83,64.31,187.24,20
16.11.2022,hadasa2,6,gibor,2,Uriel,3.041,20.83,64.31,187.24,20
16.11.2022,hadasa2,7,freddy,1,Uriel,2.734,21.09,64.4,220.35,20.41
16.11.2022,hadasa1,7,freddy,2,Uriel,3.179,21.46,62.76,473.03,21.95
16.11.2022,hadasa1,8,choco,1,Uriel,2.752,22.05,62.14,581.87,23.54
16.11.2022,hadasa2,8,choco,2,Uriel,2.752,22.05,62.14,581.87,23.54
22.08.2022,acre1,1,choco,1,Uriel,21.34,28.08,70.29,484.73,38.64
22.08.2022,acre1,1,choco,2,Uriel,1.259,29.29,66.78,691.26,44.45
22.08.2022,acre1,2,freddy,1,Uriel,1.241,29.97,64.16,660.08,45.94
22.08.2022,acre1,2,freddy,2,Uriel,1.417,30.56,62.44,760.4,48.33
22.08.2022,acre1,4,tochka,1,Uriel,1.663,31.65,62.84,956.69,54.94
22.08.2022,acre1,4,tochka,2,Uriel,1.836,31.58,62.41,970.67,54.93
22.08.2022,acre1,5,amigo,1,Uriel,0.85,34,53.19,758.7,51.32
22.08.2022,acre1,5,amigo,2,Uriel,0.85,34,53.19,758.7,51.32
22.08.2022,acre1,6,black,1,Uriel,0.774,34.42,52.84,713.77,46.4
22.08.2022,acre1,6,black,2,Uriel,1.015,34.17,53.44,683.83,45.95
