time,where,behavior
3,out,fast
4,out,fast
5,out,fast
6,out,fast
7,out,fast
8,out,fast
9,out,focus
10,out,slow
11,out,slow
12,out,slow
13,out,slow
14,out,slow
15,out,slow
16,out,slow
17,out,focus
18,out,slow
19,out,distraction
20,out,distraction
21,out,distraction
22,out,distraction
23,out,distraction
24,out,distraction
25,out,distraction
26,out,distraction
27,out,distraction
28,out,distraction
29,out,distraction
30,out,distraction
31,out,distraction
32,out,with_op
33,out,with_op
34,out,fast
35,out,fast
36,out,fast
37,out,fast
38,out,fast
39,out,fast
40,out,fast
41,out,fast
42,out,fast
43,out,fast
44,out,fast
45,out,fast
46,out,fast
47,out,fast
48,out,fast
49,out,fast
50,out,fast
51,out,fast
52,out,stop
53,out,fast
54,out,stop
55,out,stop
56,out,fast
57,out,fast
58,out,fast
59,out,fast
60,out,fast
61,out,fast
62,out,fast
63,out,fast
64,out,fast
65,out,fast
66,out,fast
67,out,fast
68,out,fast
69,out,fast
70,out,fast
71,out,fast
72,out,fast
73,out,fast
74,out,fast
75,out,fast
76,out,fast
77,out,fast
78,out,focus
79,in,slow
80,in,slow
81,in,slow
82,in,slow
83,in,slow
84,in,slow
85,in,slow
86,in,slow
87,in,focus
88,in,focus
89,in,focus
90,in,focus
91,in,focus
92,in,stop
93,in,stop
94,in,stop
95,in,stop
96,in,stop
97,in,stop
98,in,stop
99,in,premark
100,in,premark
101,in,premark
102,in,premark
103,in,premark
104,in,premark
105,in,premark
106,in,premark
107,in,mark
108,in,mark
109,in,mark
110,in,mark
111,in,mark
112,in,mark
113,in,mark
114,in,mark
115,in,mark
116,in,mark
117,in,mark
118,in,mark
119,in,mark
120,in,mark
121,in,mark
122,in,mark
123,in,mark
124,in,mark
125,in,mark
126,in,mark
127,in,mark
128,in,mark
129,in,mark
130,in,mark
131,in,mark
132,in,mark
133,in,mark
134,in,mark
135,in,mark
136,in,mark
137,in,mark
138,in,mark
139,in,between
140,in,mark
141,in,mark
142,in,mark
143,in,mark
144,in,back_to_op
