time,where,behavior
3,out,fast
4,out,fast
5,out,fast
6,out,fast
7,out,fast
8,out,fast
9,out,fast
10,out,fast
11,out,stop
12,out,stop
13,out,stop
14,out,stop
15,out,stop
16,out,stop
17,out,stop
18,out,stop
19,out,fast
20,out,fast
21,out,focus
22,out,focus
23,out,focus
24,out,fast
25,out,fast
26,out,fast
27,out,stop
28,out,stop
29,out,stop
30,out,stop
31,out,stop
32,out,stop
33,out,stop
34,out,focus
35,out,focus
36,out,focus
37,out,focus
38,out,stop
39,out,stop
40,out,stop
41,out,stop
42,out,focus
43,out,fast
44,out,fast
45,out,fast
46,out,fast
47,out,fast
48,out,fast
49,out,fast
50,out,stop
51,out,stop
52,out,stop
53,out,stop
54,out,fast
55,out,fast
56,out,fast
57,out,fast
58,out,fast
59,out,fast
60,out,fast
61,out,fast
62,out,fast
63,out,fast
64,out,fast
65,out,stop
66,out,fast
67,out,fast
68,out,fast
69,out,fast
70,out,fast
71,out,stop
72,out,fast
73,out,fast
74,out,fast
75,out,fast
76,out,fast
77,out,fast
78,out,stop
79,out,fast
80,out,fast
81,out,fast
82,out,fast
83,out,fast
84,out,fast
85,out,fast
86,out,stop
87,out,stop
88,out,stop
89,out,fast
90,out,stop
91,out,stop
92,out,stop
93,out,stop
94,out,stop
95,out,fast
96,out,fast
97,out,fast
98,out,fast
99,out,fast
100,out,stop
101,out,stop
102,out,stop
103,out,stop
104,out,stop
105,out,stop
106,out,stop
107,out,stop
108,out,focus
109,out,fast
110,out,fast
111,out,fast
112,out,focus
113,out,focus
114,out,focus
115,out,focus
116,out,stop
117,out,stop
118,out,stop
119,out,stop
120,out,stop
121,out,fast
122,out,fast
123,out,fast
124,out,fast
125,out,focus
126,out,focus
127,out,focus
128,out,focus
129,out,stop
130,out,stop
131,out,stop
132,out,stop
133,out,slow
134,out,slow
135,out,slow
136,out,slow
137,out,slow
138,out,slow
139,out,focus
140,out,slow
141,out,slow
142,out,focus
143,out,focus
144,out,fast
145,out,fast
146,out,fast
147,out,fast
148,out,stop
149,out,stop
150,out,stop
151,out,stop
152,out,stop
153,out,stop
154,out,stop
155,out,stop
156,out,stop
157,out,stop
158,out,stop
159,out,stop
160,out,stop
161,out,stop
162,out,stop
163,out,stop
164,out,stop
165,out,stop
166,out,stop
167,out,stop
168,out,stop
169,out,stop
170,out,slow
171,out,slow
172,out,slow
173,out,focus
174,out,slow
175,out,slow
176,out,slow
177,out,stop
178,out,slow
179,out,slow
180,out,slow
181,out,slow
182,out,stop
183,out,slow
184,out,slow
185,out,slow
186,out,slow
187,out,stop
188,out,slow
189,out,slow
190,out,slow
191,out,slow
192,out,slow
193,out,stop
194,out,stop
195,out,stop
196,out,stop
197,out,slow
198,out,slow
199,out,slow
200,out,slow
201,out,slow
202,out,slow
203,out,stop
204,out,stop
205,out,fast
206,out,fast
207,out,fast
208,out,fast
209,out,fast
210,out,fast
211,out,stop
212,out,stop
213,out,distraction
214,out,distraction
215,out,distraction
216,out,distraction
217,out,distraction
218,out,distraction
219,out,distraction
220,out,distraction
221,out,stop
222,out,stop
223,out,stop
224,out,stop
225,out,stop
226,out,stop
227,out,stop
228,out,stop
229,out,stop
230,out,stop
231,out,stop
232,out,stop
233,out,stop
234,out,stop
235,out,focus
236,out,focus
237,out,focus
238,out,focus
239,out,focus
240,out,focus
241,out,focus
242,out,focus
243,out,focus
244,out,stop
245,out,stop
246,out,stop
247,out,stop
248,out,stop
249,out,distraction
250,out,distraction
251,out,distraction
252,out,distraction
253,out,distraction
254,out,distraction
255,out,distraction
256,out,distraction
257,out,distraction
258,out,distraction
259,out,distraction
260,out,slow
261,out,slow
262,out,slow
263,out,slow
264,out,slow
265,out,slow
266,out,slow
267,out,fast
268,out,fast
269,out,fast
270,out,fast
271,out,fast
272,out,fast
273,out,fast
274,out,fast
275,out,fast
276,out,fast
277,out,fast
278,out,fast
279,out,fast
280,out,fast
281,out,stop
282,out,stop
283,out,stop
284,out,stop
285,out,stop
286,out,stop
287,out,stop
288,out,stop
289,out,stop
290,out,stop
291,out,stop
292,out,stop
293,out,stop
294,out,stop
295,out,stop
296,out,stop
297,out,stop
298,out,stop
299,out,stop
300,out,stop
301,out,slow
302,out,slow
303,out,slow
304,out,slow
305,out,slow
306,out,slow
307,out,stop
308,out,stop
309,out,stop
310,out,fast
311,out,fast
312,out,fast
313,out,fast
314,out,fast
315,out,fast
316,out,fast
317,out,fast
318,out,fast
319,out,fast
320,out,fast
321,out,stop
322,out,stop
323,out,stop
324,out,stop
325,out,stop
326,out,stop
327,out,slow
328,out,slow
329,out,slow
330,out,slow
331,out,slow
332,out,slow
333,out,slow
334,out,slow
335,out,slow
336,out,slow
337,out,slow
338,out,slow
339,out,slow
340,out,slow
341,out,slow
342,out,slow
343,out,focus
344,out,focus
345,out,focus
346,out,focus
347,out,focus
348,out,focus
349,out,slow
350,out,slow
351,out,slow
352,out,slow
353,out,focus
354,out,focus
355,out,focus
356,out,slow
357,out,slow
358,out,focus
359,out,focus
360,out,focus
361,out,slow
362,out,slow
363,out,focus
364,out,focus
365,out,focus
366,out,slow
367,out,slow
368,out,slow
369,out,focus
370,out,slow
371,out,slow
372,out,slow
373,out,focus
374,out,slow
375,out,slow
376,out,stop
377,out,stop
378,out,stop
379,out,stop
380,out,slow
381,out,slow
382,out,slow
383,out,slow
384,out,focus
385,out,focus
386,out,slow
387,out,slow
388,out,slow
389,out,slow
390,out,mark
391,out,mark
392,out,mark
393,out,mark
394,out,mark
395,out,mark
396,out,between
397,out,mark
398,out,mark
399,out,mark
400,out,between
401,out,mark
402,out,mark
403,out,mark
404,out,mark
405,out,mark
406,out,mark
407,out,mark
408,out,mark
409,out,between
410,out,between
411,out,striving
412,out,striving
413,out,mark
414,out,mark
415,out,mark
416,out,mark
417,out,mark
418,out,mark
419,out,mark
420,out,mark
421,out,back_to_op
