time,where,behavior
3,out,fast
4,out,fast
5,out,fast
6,out,fast
7,out,fast
8,out,distraction
9,out,distraction
10,out,distraction
11,out,distraction
12,out,distraction
13,out,distraction
14,out,distraction
15,out,distraction
16,out,distraction
17,out,distraction
18,out,distraction
19,out,fast
20,out,fast
21,in,fast
22,in,fast
23,in,fast
24,in,fast
25,in,fast
26,in,fast
27,out,fast
28,out,fast
29,out,fast
30,out,stop
31,out,stop
32,out,fast
33,out,fast
34,out,fast
35,out,fast
36,out,fast
37,out,fast
38,in,fast
39,in,focus
40,in,focus
41,in,focus
42,in,fast
43,in,slow
44,in,slow
45,in,slow
46,in,slow
47,in,slow
48,in,slow
49,in,slow
50,in,slow
51,in,slow
52,in,slow
53,in,slow
54,out,slow
55,out,distraction
56,out,distraction
57,out,distraction
58,out,distraction
59,out,distraction
60,out,distraction
61,out,back_to_op
62,out,back_to_op
63,out,back_to_op
64,out,back_to_op
65,out,fast
66,out,fast
67,out,fast
68,out,fast
69,out,fast
70,out,fast
71,out,fast
72,out,fast
73,out,distraction
74,out,distraction
75,out,distraction
76,out,fast
77,out,fast
78,out,fast
79,out,fast
80,out,fast
81,out,stop
82,out,slow
83,out,slow
84,out,slow
85,out,slow
86,out,slow
87,out,slow
88,out,slow
89,out,slow
90,out,slow
91,out,slow
92,out,slow
93,out,slow
94,out,stop
95,out,slow
96,out,slow
97,out,slow
98,out,slow
99,out,focus
100,out,slow
101,out,slow
102,out,slow
103,out,slow
104,out,slow
105,out,slow
106,out,slow
107,out,stop
108,out,stop
109,out,fast
110,out,fast
111,out,fast
112,out,fast
113,out,fast
114,out,stop
115,out,fast
116,out,fast
117,out,fast
118,out,fast
119,out,fast
120,out,fast
121,out,focus
122,out,focus
123,out,focus
124,out,focus
125,out,focus
126,out,fast
127,out,distraction
128,out,distraction
129,out,distraction
130,out,distraction
131,out,distraction
132,out,distraction
133,out,back_to_op
134,out,fast
135,out,fast
136,out,fast
137,in,fast
138,in,fast
139,in,fast
140,in,distraction
141,out,distraction
142,out,distraction
143,out,distraction
144,out,distraction
145,out,distraction
146,out,distraction
147,out,back_to_op
148,out,back_to_op
149,out,back_to_op
150,out,back_to_op
151,out,fast
152,out,fast
153,out,fast
154,out,stop
155,out,fast
156,out,fast
157,out,fast
158,out,fast
159,out,fast
160,out,fast
161,out,fast
162,out,fast
163,out,fast
164,out,focus
165,out,fast
166,out,fast
167,out,fast
168,out,fast
169,out,fast
170,out,fast
171,out,out_of_site
172,out,out_of_site
173,out,out_of_site
174,out,out_of_site
175,out,out_of_site
176,out,out_of_site
177,out,out_of_site
178,out,out_of_site
179,out,out_of_site
180,out,out_of_site
181,out,out_of_site
182,out,out_of_site
183,out,out_of_site
184,out,out_of_site
185,out,out_of_site
186,out,out_of_site
187,out,out_of_site
188,out,out_of_site
189,out,out_of_site
190,out,out_of_site
191,out,back_to_op
192,out,back_to_op
193,out,back_to_op
194,out,back_to_op
195,out,back_to_op
196,out,back_to_op
197,out,back_to_op
198,out,back_to_op
199,out,back_to_op
200,out,back_to_op
201,out,back_to_op
202,out,with_op
203,out,fast
204,out,fast
205,out,fast
206,out,fast
207,out,fast
208,out,stop
209,out,stop
210,out,stop
211,out,stop
212,out,stop
213,out,slow
214,out,slow
215,out,slow
216,out,slow
217,out,slow
218,out,slow
219,out,slow
220,out,slow
221,out,slow
222,out,slow
223,out,slow
224,out,slow
225,out,slow
226,out,slow
227,out,slow
228,out,slow
229,out,slow
230,out,slow
231,out,slow
232,out,fast
233,out,fast
234,out,fast
235,out,fast
236,out,stop
237,out,fast
238,out,stop
239,out,stop
240,out,back_to_op
241,out,back_to_op
242,out,back_to_op
243,out,back_to_op
244,out,slow
245,out,slow
246,out,slow
247,out,slow
248,out,slow
249,out,slow
250,out,stop
251,out,fast
252,out,fast
253,out,fast
254,out,fast
255,out,fast
256,out,fast
257,out,fast
258,out,fast
259,out,fast
260,out,fast
261,out,fast
262,out,fast
263,out,fast
264,out,fast
265,out,fast
266,out,fast
267,out,fast
268,out,fast
269,out,fast
270,out,fast
271,out,fast
272,out,fast
273,out,fast
274,out,fast
275,out,focus
276,out,focus
277,out,premark
278,out,premark
279,out,premark
280,out,premark
281,out,mark
282,out,mark
283,out,mark
284,out,mark
285,out,mark
286,out,mark
287,out,mark
288,out,mark
289,out,mark
290,out,mark
291,out,mark
292,out,mark
293,out,mark
294,out,mark
295,out,mark
296,out,mark
297,out,mark
298,out,mark
299,out,mark
300,out,mark
301,out,mark
