time,where,behavior
3,out,fast
4,out,fast
5,out,fast
6,in,distraction
7,in,distraction
8,in,distraction
9,in,distraction
10,in,distraction
11,in,distraction
12,in,distraction
13,in,distraction
14,in,distraction
15,in,distraction
16,in,distraction
17,in,distraction
18,in,distraction
19,in,distraction
20,in,distraction
21,in,distraction
22,in,distraction
23,in,distraction
24,in,distraction
25,in,distraction
26,in,distraction
27,in,distraction
28,in,distraction
29,in,distraction
30,in,distraction
31,in,distraction
32,in,distraction
33,in,distraction
34,in,distraction
35,in,distraction
36,in,distraction
37,in,distraction
38,in,distraction
39,in,distraction
40,in,distraction
41,in,distraction
42,in,distraction
43,in,distraction
44,in,distraction
45,in,distraction
46,in,distraction
47,in,distraction
48,in,distraction
49,in,distraction
50,in,distraction
51,in,distraction
52,in,distraction
53,in,distraction
54,in,distraction
55,in,distraction
56,in,distraction
57,in,distraction
58,in,distraction
59,in,distraction
60,in,distraction
61,in,distraction
62,in,distraction
63,in,distraction
64,in,distraction
65,in,distraction
66,in,distraction
67,in,distraction
68,in,distraction
69,in,distraction
70,in,distraction
71,in,distraction
72,in,distraction
73,in,distraction
74,in,distraction
75,in,distraction
76,in,distraction
77,in,distraction
78,in,distraction
79,in,distraction
80,in,distraction
81,in,distraction
82,in,distraction
83,in,distraction
84,in,distraction
85,in,distraction
86,in,distraction
87,in,distraction
88,in,distraction
89,in,distraction
90,in,distraction
91,in,distraction
92,in,distraction
93,in,distraction
94,in,distraction
95,in,distraction
96,in,distraction
97,in,distraction
98,in,distraction
99,in,distraction
100,in,slow
101,in,slow
102,in,slow
103,in,slow
104,in,slow
105,in,slow
106,in,slow
107,in,slow
108,in,slow
109,in,slow
110,in,slow
111,in,slow
112,in,slow
113,in,slow
114,in,slow
115,in,slow
116,in,slow
117,in,slow
118,in,stop
119,in,slow
120,in,slow
121,in,slow
122,in,slow
123,in,slow
124,in,stop
125,in,stop
126,in,stop
127,in,stop
128,in,stop
129,in,slow
130,in,slow
131,in,slow
132,in,focus
133,in,focus
134,in,focus
135,in,focus
136,in,focus
137,in,focus
138,in,focus
139,in,focus
140,in,focus
141,in,focus
142,in,focus
143,in,stop
144,in,stop
145,in,stop
146,in,slow
147,in,slow
148,in,slow
149,in,slow
150,in,slow
151,in,slow
152,in,slow
153,in,slow
154,in,slow
155,in,slow
156,in,slow
157,in,slow
158,in,slow
159,in,slow
160,in,stop
161,in,stop
162,in,slow
163,in,slow
164,in,slow
165,in,slow
166,in,slow
167,in,focus
168,in,stop
169,in,stop
170,in,stop
171,in,stop
172,in,stop
173,in,stop
174,in,premark
175,in,premark
176,in,premark
177,in,premark
178,in,premark
179,in,mark
180,in,mark
181,in,mark
182,in,mark
183,in,mark
184,in,mark
185,in,mark
186,in,between
187,in,mark
188,in,mark
189,in,mark
190,in,mark
191,in,between
192,in,mark
193,in,mark
194,in,mark
195,in,mark
196,in,mark
197,in,mark
