time,where,behavior
3,out,fast
4,out,fast
5,out,fast
6,out,fast
7,out,fast
8,out,fast
9,out,fast
10,out,fast
11,out,fast
12,out,fast
13,out,fast
14,out,fast
15,out,fast
16,out,fast
17,out,fast
18,out,fast
19,out,fast
20,out,fast
21,out,stop
22,out,stop
23,out,stop
24,out,stop
25,out,stop
26,out,stop
27,out,fast
28,out,fast
29,out,fast
30,out,fast
31,out,stop
32,out,focus
33,out,fast
34,out,fast
35,out,fast
36,out,fast
37,out,fast
38,out,fast
39,out,fast
40,out,fast
41,out,focus
42,out,slow
43,out,fast
44,out,fast
45,out,fast
46,out,fast
47,out,fast
48,out,fast
49,out,fast
50,out,focus
51,out,fast
52,out,fast
53,out,fast
54,out,fast
55,out,fast
56,out,fast
57,in,slow
58,in,slow
59,in,slow
60,in,slow
61,in,slow
62,in,slow
63,in,slow
64,in,slow
65,in,slow
66,in,slow
67,in,slow
68,in,slow
69,in,slow
70,in,slow
71,in,slow
72,in,slow
73,in,slow
74,in,slow
75,in,slow
76,in,slow
77,in,stop
78,in,slow
79,in,slow
80,in,slow
81,in,slow
82,in,slow
83,in,slow
84,in,focus
85,in,focus
86,in,focus
87,in,focus
88,in,slow
89,in,slow
90,in,slow
91,in,slow
92,in,slow
93,in,slow
94,in,focus
95,in,stop
96,in,slow
97,in,slow
98,in,slow
99,in,slow
100,in,slow
101,in,slow
102,in,slow
103,in,slow
104,in,slow
105,in,stop
106,in,slow
107,in,slow
108,in,slow
109,in,slow
110,in,slow
111,in,slow
112,in,slow
113,in,slow
114,in,slow
115,in,slow
116,in,stop
117,in,stop
118,in,slow
119,in,slow
120,in,slow
121,in,slow
122,in,slow
123,in,slow
124,in,slow
125,in,slow
126,in,slow
127,in,slow
128,in,slow
129,in,slow
130,in,slow
131,in,slow
132,in,slow
133,in,slow
134,in,slow
135,in,slow
136,in,stop
137,in,fast
138,in,fast
139,in,fast
140,in,fast
141,in,fast
142,in,fast
143,in,fast
144,in,premark
145,in,FALSE
146,in,stop
147,in,stop
148,in,stop
149,in,stop
150,in,stop
151,in,stop
152,in,slow
153,in,slow
154,in,slow
155,in,slow
156,in,slow
157,in,slow
158,in,slow
159,in,slow
160,in,slow
161,in,slow
162,in,slow
163,in,slow
164,in,slow
165,in,slow
166,in,slow
167,in,slow
168,in,slow
169,in,slow
170,in,stop
171,in,slow
172,in,slow
173,in,slow
174,in,slow
175,in,slow
176,in,slow
177,in,slow
178,in,slow
179,in,stop
180,in,stop
181,in,stop
182,in,stop
183,in,stop
184,in,stop
185,in,slow
186,in,slow
187,in,slow
188,in,slow
189,in,slow
190,in,slow
191,in,slow
192,in,slow
193,in,stop
194,in,stop
195,in,stop
196,in,stop
197,in,slow
198,in,slow
199,in,slow
200,in,slow
201,in,slow
202,in,slow
203,in,slow
204,in,slow
205,in,slow
206,in,slow
207,in,slow
208,in,slow
209,in,slow
210,in,slow
211,in,slow
212,in,slow
213,in,slow
214,in,slow
215,in,slow
216,in,slow
217,in,slow
218,in,slow
219,in,slow
220,in,slow
221,in,slow
222,in,slow
223,in,slow
224,in,focus
225,in,focus
226,in,focus
227,in,focus
228,in,premark
229,in,premark
230,in,premark
231,in,premark
232,in,premark
233,in,premark
234,in,slow
235,in,slow
236,in,slow
237,in,slow
238,in,slow
239,in,slow
240,in,slow
241,in,slow
242,in,slow
243,in,slow
244,in,slow
245,in,slow
246,in,slow
247,in,slow
248,in,striving
249,in,striving
250,in,striving
251,in,striving
252,in,striving
253,in,striving
254,in,striving
255,in,FALSE
256,in,focus
257,in,focus
258,in,focus
259,in,fast
260,in,fast
261,in,fast
262,in,fast
263,in,fast
264,in,fast
265,in,fast
266,in,focus
267,in,focus
268,in,fast
269,in,fast
270,in,fast
271,in,fast
272,in,fast
273,in,focus
274,in,focus
275,in,focus
276,in,focus
277,out,slow
278,out,fast
279,out,fast
280,out,fast
281,out,fast
282,out,fast
283,out,fast
284,out,fast
285,out,fast
286,out,fast
287,out,fast
288,out,fast
289,out,stop
290,out,stop
291,out,stop
292,out,stop
293,out,stop
294,out,stop
295,out,stop
296,out,stop
297,out,fast
298,out,fast
299,out,fast
300,out,fast
301,out,fast
302,out,fast
303,out,fast
304,out,fast
305,out,fast
306,out,fast
307,out,fast
308,out,stop
309,out,mark
310,out,mark
311,out,mark
312,out,mark
313,out,mark
314,out,mark
315,out,mark
316,out,mark
317,out,mark
318,out,mark
319,out,mark
320,out,between
321,out,striving
322,out,striving
323,out,striving
324,out,striving
325,out,striving
326,out,striving
327,out,striving
328,out,striving
329,out,striving
330,out,striving
331,out,striving
332,out,mark
333,out,mark
334,out,mark
335,out,mark
336,out,mark
337,out,mark
338,out,mark
339,out,mark
340,out,mark
341,out,mark
342,out,mark
343,out,mark
