time,where,behavior
3,out,fast
4,out,fast
5,out,fast
6,out,fast
7,out,fast
8,out,fast
9,out,fast
10,out,fast
11,out,fast
12,out,stop
13,out,fast
14,out,fast
15,out,fast
16,in,fast
17,in,fast
18,in,fast
19,in,fast
20,in,fast
21,in,fast
22,in,fast
23,in,fast
24,in,focus
25,in,fast
26,in,fast
27,in,fast
28,in,fast
29,in,fast
30,in,distraction
31,in,distraction
32,in,distraction
33,in,distraction
34,in,distraction
35,in,distraction
36,in,distraction
37,in,distraction
38,in,distraction
39,in,distraction
40,in,distraction
41,in,distraction
42,in,distraction
43,in,distraction
44,in,distraction
45,in,distraction
46,in,distraction
47,in,distraction
48,in,distraction
49,in,stop
50,in,stop
51,in,distraction
52,in,distraction
53,in,distraction
54,in,distraction
55,in,distraction
56,in,distraction
57,in,distraction
58,in,distraction
59,in,distraction
60,in,distraction
61,in,fast
62,in,fast
63,in,fast
64,in,fast
65,in,fast
66,in,fast
67,in,fast
68,in,fast
69,in,fast
70,in,fast
71,in,fast
72,in,fast
73,in,fast
74,in,focus
75,in,focus
76,in,focus
77,in,focus
78,in,focus
79,in,focus
80,in,focus
81,in,focus
82,in,focus
83,in,focus
84,in,focus
85,in,focus
86,in,focus
87,in,focus
88,in,focus
89,in,focus
90,in,focus
91,in,focus
92,in,focus
93,in,focus
94,in,fast
95,in,fast
96,in,fast
97,in,fast
98,in,fast
99,in,fast
100,in,fast
101,in,fast
102,in,fast
103,in,focus
104,in,focus
105,in,focus
106,in,fast
107,in,fast
108,in,fast
109,in,fast
110,in,fast
111,in,fast
112,in,fast
113,in,fast
114,in,fast
115,in,fast
116,in,stop
117,in,fast
118,in,fast
119,in,fast
120,in,fast
121,in,fast
122,in,fast
123,in,fast
124,in,fast
125,in,fast
126,in,fast
127,in,fast
128,in,fast
129,in,fast
130,in,fast
131,in,fast
132,in,fast
133,in,fast
134,in,fast
135,in,fast
136,in,fast
137,in,stop
138,in,stop
139,in,fast
140,in,fast
141,in,fast
142,in,fast
143,in,fast
144,in,fast
145,in,fast
146,in,fast
147,in,fast
148,in,fast
149,in,fast
150,in,fast
151,in,fast
152,in,fast
153,in,fast
154,in,fast
155,in,fast
156,in,fast
157,in,fast
158,in,fast
159,in,fast
160,in,focus
161,in,focus
162,in,focus
163,in,focus
164,in,focus
165,in,focus
166,in,fast
167,in,stop
168,in,stop
169,in,stop
170,in,stop
171,in,fast
172,in,fast
173,in,fast
174,in,fast
175,in,fast
176,in,fast
177,in,fast
178,in,fast
179,in,stop
180,in,stop
181,in,stop
182,in,stop
183,in,stop
184,in,stop
185,in,stop
186,in,stop
187,in,stop
188,in,stop
189,in,stop
190,in,fast
191,in,fast
192,in,fast
193,in,fast
194,in,fast
195,in,fast
196,in,fast
197,in,fast
198,in,fast
199,in,fast
200,in,fast
201,in,back_to_op
202,in,back_to_op
203,in,back_to_op
204,in,back_to_op
205,in,back_to_op
206,out,back_to_op
207,out,back_to_op
208,in,fast
209,in,fast
210,in,fast
211,in,fast
212,in,fast
213,in,fast
214,in,fast
215,in,fast
216,in,back_to_op
217,in,back_to_op
218,out,back_to_op
219,out,with_op
220,out,fast
221,out,fast
222,out,fast
223,out,fast
224,out,fast
225,out,fast
226,out,fast
227,out,fast
228,out,fast
229,out,fast
230,out,fast
231,out,fast
232,out,fast
233,out,fast
234,out,fast
235,out,stop
236,out,fast
237,out,fast
238,out,fast
239,out,fast
240,out,fast
241,out,fast
242,out,fast
243,out,fast
244,out,fast
245,out,fast
246,out,stop
247,out,fast
248,out,fast
249,out,fast
250,out,fast
251,out,fast
252,out,fast
253,out,fast
254,out,fast
255,out,fast
256,out,fast
257,out,fast
258,out,fast
259,out,fast
260,in,fast
261,in,fast
262,in,fast
263,in,fast
264,in,fast
265,in,stop
266,in,fast
267,in,fast
268,in,fast
269,in,fast
270,in,fast
271,in,fast
272,in,fast
273,in,fast
274,in,fast
275,in,fast
276,in,fast
277,in,fast
278,in,fast
279,in,fast
280,in,fast
281,in,fast
282,in,stop
283,in,stop
284,in,fast
285,out,stop
286,out,stop
287,out,stop
288,out,fast
289,out,fast
290,out,fast
291,out,fast
292,out,fast
293,out,fast
294,out,fast
295,out,fast
296,out,fast
297,out,stop
298,out,fast
299,out,fast
300,out,fast
301,out,fast
302,out,fast
303,out,stop
304,out,fast
305,out,fast
306,out,fast
307,out,fast
308,out,fast
309,out,fast
310,out,fast
311,out,fast
312,out,fast
313,out,fast
314,out,fast
315,out,fast
316,out,fast
317,out,fast
318,in,fast
319,in,fast
320,in,fast
321,in,fast
322,in,fast
323,in,fast
324,in,fast
325,in,fast
326,in,stop
327,in,stop
328,in,stop
329,in,fast
330,in,fast
331,in,fast
332,in,fast
333,in,stop
334,in,stop
335,in,stop
336,in,focus
337,in,focus
338,in,focus
339,in,focus
340,in,fast
341,in,fast
342,in,fast
343,in,fast
344,in,fast
345,in,fast
346,in,fast
347,in,fast
348,in,fast
349,in,fast
350,in,fast
351,in,fast
352,in,fast
353,in,fast
354,in,fast
355,in,fast
356,in,fast
357,in,fast
358,in,fast
359,in,fast
360,in,fast
361,in,fast
362,in,fast
363,in,fast
364,in,fast
365,in,fast
366,in,focus
367,in,focus
368,in,fast
369,in,fast
370,in,fast
371,in,fast
372,in,fast
373,in,fast
374,in,stop
375,in,fast
376,in,fast
377,in,fast
378,in,fast
379,in,fast
380,in,fast
381,in,fast
382,in,fast
383,in,fast
384,in,fast
385,in,fast
386,in,fast
387,in,fast
388,in,fast
389,in,fast
390,in,fast
391,in,fast
392,in,fast
393,in,fast
394,in,fast
395,in,fast
396,in,fast
397,in,focus
398,in,focus
399,in,focus
400,in,fast
401,in,fast
402,in,fast
403,in,fast
404,in,fast
405,in,fast
406,in,fast
407,in,fast
408,in,fast
409,in,fast
410,in,fast
411,in,fast
412,in,fast
413,in,focus
414,in,fast
415,in,fast
416,in,fast
417,in,fast
418,in,fast
419,in,stop
420,in,slow
421,in,slow
422,in,slow
423,in,slow
424,in,slow
425,in,slow
426,in,slow
427,in,slow
428,in,slow
429,in,slow
430,in,slow
431,in,slow
432,in,stop
433,in,stop
434,in,stop
435,in,stop
436,in,slow
437,in,stop
438,in,stop
439,in,stop
440,in,stop
441,in,slow
442,in,slow
443,in,slow
444,in,slow
445,in,slow
446,in,slow
447,in,stop
448,in,stop
449,in,stop
450,in,focus
451,in,focus
452,in,focus
453,in,focus
454,in,focus
455,in,slow
456,in,slow
457,in,slow
458,in,slow
459,in,slow
460,in,slow
461,in,slow
462,in,slow
463,in,slow
464,in,slow
465,in,slow
466,in,stop
467,in,focus
468,in,focus
469,in,focus
470,in,focus
471,in,focus
472,in,focus
473,in,focus
474,in,focus
475,in,fast
476,in,fast
477,in,fast
478,in,fast
479,in,fast
480,in,fast
481,in,fast
482,out,fast
483,out,fast
484,out,fast
485,out,fast
486,out,fast
487,out,fast
488,out,fast
489,out,fast
490,out,fast
491,out,fast
492,out,fast
493,out,focus
494,out,fast
495,out,fast
496,out,fast
497,out,fast
498,out,focus
499,out,fast
500,out,fast
501,out,fast
502,out,fast
503,out,fast
504,out,fast
505,out,focus
506,out,focus
507,out,focus
508,out,focus
509,out,focus
510,out,stop
511,out,stop
512,out,stop
513,out,stop
514,out,stop
515,out,stop
516,out,fast
517,out,fast
518,out,fast
519,out,fast
520,out,fast
521,out,fast
522,out,fast
523,in,fast
524,in,fast
525,in,fast
526,in,fast
527,in,focus
528,in,focus
529,in,focus
530,in,focus
531,in,focus
532,in,fast
533,in,fast
534,in,fast
535,in,fast
536,in,fast
537,in,fast
538,in,fast
539,in,fast
540,in,focus
541,in,slow
542,in,slow
543,in,slow
544,in,slow
545,in,slow
546,in,slow
547,in,slow
548,in,slow
549,in,slow
550,in,mark
551,in,mark
552,in,mark
553,in,mark
554,in,mark
555,in,mark
556,in,mark
557,in,mark
558,in,between
559,in,mark
560,in,mark
561,in,mark
562,in,mark
563,in,mark
564,in,between
565,in,between
566,in,mark
567,in,mark
568,in,mark
569,in,mark
570,in,mark
571,in,mark
572,in,between
573,in,mark
574,in,mark
575,in,mark
576,in,mark
577,in,mark
578,in,mark
579,in,mark
580,in,mark
581,in,mark
582,in,mark
583,in,mark
584,in,mark
585,in,mark
586,in,mark
587,in,mark
588,in,mark
589,in,with_op
590,in,with_op
591,in,with_op
