time,where,behavior
3,out,fast
4,out,fast
5,out,fast
6,out,fast
7,out,fast
8,out,fast
9,out,fast
10,out,fast
11,out,fast
12,in,fast
13,in,fast
14,in,fast
15,in,fast
16,in,fast
17,in,fast
18,in,fast
19,in,fast
20,in,fast
21,in,fast
22,in,fast
23,in,fast
24,in,fast
25,in,fast
26,in,fast
27,in,fast
28,in,fast
29,in,fast
30,in,fast
31,in,fast
32,in,fast
33,in,fast
34,in,fast
35,in,fast
36,in,fast
37,in,fast
38,in,fast
39,in,fast
40,in,fast
41,in,fast
42,in,fast
43,in,fast
44,in,fast
45,in,fast
46,in,fast
47,in,fast
48,in,fast
49,in,fast
50,in,fast
51,in,fast
52,in,fast
53,in,fast
54,in,fast
55,in,fast
56,in,fast
57,in,fast
58,in,fast
59,in,fast
60,in,fast
61,in,fast
62,in,fast
63,in,focus
64,in,fast
65,in,fast
66,in,fast
67,in,fast
68,in,fast
69,in,fast
70,in,fast
71,in,fast
72,in,focus
73,in,focus
74,in,focus
75,in,slow
76,in,slow
77,in,slow
78,in,slow
79,in,slow
80,in,slow
81,in,slow
82,in,focus
83,in,slow
84,in,slow
85,in,slow
86,in,slow
87,in,slow
88,in,slow
89,in,slow
90,in,slow
91,in,slow
92,in,slow
93,in,slow
94,in,slow
95,in,mark
96,in,mark
97,in,mark
98,in,mark
99,in,mark
100,in,mark
101,in,mark
102,in,mark
103,in,mark
104,in,mark
105,in,slow
106,in,slow
107,in,slow
108,in,slow
109,in,slow
110,in,slow
111,in,slow
112,in,slow
113,in,mark
114,in,mark
115,in,mark
116,in,stop
117,in,stop
118,in,stop
119,in,stop
120,in,stop
121,in,stop
122,in,stop
123,in,back_to_op
124,in,back_to_op
125,in,back_to_op
126,in,back_to_op
127,in,back_to_op
128,in,back_to_op
129,in,back_to_op
130,in,back_to_op
131,in,fast
132,in,fast
133,in,fast
134,in,fast
135,in,fast
136,in,fast
137,in,back_to_op
138,in,back_to_op
139,in,fast
140,in,fast
141,in,fast
142,in,fast
143,in,stop
144,in,stop
145,in,distraction
146,in,distraction
147,in,distraction
148,in,distraction
149,in,distraction
150,in,distraction
151,in,distraction
152,in,distraction
153,in,distraction
154,in,distraction
155,in,distraction
156,in,distraction
157,in,distraction
158,in,distraction
159,in,distraction
160,in,distraction
161,in,distraction
162,in,distraction
163,in,distraction
164,in,distraction
165,in,distraction
166,in,distraction
167,in,distraction
168,in,distraction
169,in,distraction
170,in,distraction
171,in,mark
172,in,mark
173,in,mark
174,in,mark
175,in,mark
176,in,mark
177,in,mark
178,in,mark
179,in,mark
180,in,mark
181,in,mark
182,in,mark
183,in,mark
184,in,mark
185,in,mark
186,in,mark
187,in,mark
188,in,mark
189,in,mark
190,in,mark
191,in,mark
192,in,mark
193,in,mark
194,in,mark
195,in,mark
196,in,mark
197,in,mark
198,in,mark
199,in,mark
200,in,mark
201,in,mark
202,in,mark
203,in,mark
204,in,mark
205,in,mark
206,in,mark
207,in,mark
208,in,mark
209,in,back_to_op
210,in,back_to_op
211,in,back_to_op
212,in,back_to_op
213,in,back_to_op
214,in,with_op
215,in,with_op
216,in,with_op
217,in,with_op
218,in,with_op
219,in,with_op
220,in,with_op
221,in,fast
222,in,fast
223,in,fast
224,in,fast
225,in,fast
226,in,fast
227,in,fast
228,in,fast
229,in,fast
230,in,focus
231,in,focus
232,in,focus
233,in,fast
234,in,fast
235,in,fast
236,in,fast
237,in,fast
238,in,fast
239,in,focus
240,in,mark
241,in,mark
242,in,mark
243,in,mark
244,in,mark
245,in,mark
246,in,mark
247,in,mark
248,in,mark
249,in,mark
250,in,mark
