time,where,behavior
3,out,fast
4,out,fast
5,out,fast
6,in,fast
7,in,fast
8,in,fast
9,in,fast
10,in,fast
11,in,fast
12,in,fast
13,in,fast
14,in,fast
15,in,fast
16,in,fast
17,in,fast
18,in,fast
19,in,fast
20,in,fast
21,in,fast
22,in,fast
23,in,fast
24,in,fast
25,in,fast
26,in,fast
27,in,fast
28,in,fast
29,in,fast
30,in,fast
31,in,fast
32,in,fast
33,in,focus
34,in,focus
35,in,mark
36,in,mark
37,in,mark
38,in,mark
39,in,mark
40,in,mark
41,in,mark
42,in,mark
43,in,between
44,in,mark
45,in,mark
46,in,mark
47,in,mark
48,in,mark
49,in,mark
50,in,mark
51,in,mark
52,in,between
53,in,between
54,in,mark
55,in,mark
56,in,mark
57,in,mark
58,in,between
59,in,between
60,in,mark
61,in,mark
62,in,mark
63,in,mark
64,in,mark
65,in,mark
66,in,between
67,in,mark
68,in,mark
