time,where,behavior
3,out,fast
4,out,fast
5,out,fast
6,out,fast
7,out,fast
8,out,fast
9,out,fast
10,in,fast
11,in,fast
12,in,fast
13,in,fast
14,in,fast
15,in,fast
16,in,fast
17,in,fast
18,in,fast
19,in,fast
20,in,fast
21,in,fast
22,in,fast
23,in,fast
24,in,fast
25,in,fast
26,in,focus
27,in,focus
28,in,focus
29,in,focus
30,in,focus
31,in,stop
32,in,stop
33,in,fast
34,in,fast
35,in,fast
36,in,focus
37,in,focus
38,in,focus
39,in,focus
40,in,focus
41,in,focus
42,in,focus
43,in,focus
44,in,focus
45,in,fast
46,in,fast
47,in,fast
48,in,fast
49,in,fast
50,in,fast
51,in,fast
52,in,fast
53,in,fast
54,in,fast
55,in,fast
56,in,fast
57,in,fast
58,in,fast
59,in,fast
60,in,fast
61,in,fast
62,in,fast
63,in,fast
64,in,fast
65,in,fast
66,in,fast
67,in,fast
68,in,fast
69,in,fast
70,in,fast
71,in,stop
72,in,stop
73,in,stop
74,in,fast
75,in,fast
76,in,fast
77,in,fast
78,in,fast
79,in,fast
80,in,fast
81,in,fast
82,in,fast
83,in,fast
84,in,fast
85,in,fast
86,in,fast
87,in,fast
88,in,fast
89,in,focus
90,in,fast
91,in,fast
92,in,fast
93,in,fast
94,in,fast
95,in,fast
96,in,fast
97,in,fast
98,in,fast
99,in,fast
100,in,fast
101,in,fast
102,in,fast
103,in,stop
104,in,stop
105,in,stop
106,in,slow
107,in,slow
108,in,slow
109,in,slow
110,in,slow
111,in,slow
112,in,slow
113,in,slow
114,in,slow
115,in,slow
116,in,slow
117,in,slow
118,in,slow
119,in,slow
120,in,slow
121,in,slow
122,in,slow
123,in,slow
124,in,slow
125,in,slow
126,in,slow
127,in,slow
128,in,slow
129,in,slow
130,in,slow
131,in,slow
132,in,slow
133,in,slow
134,in,slow
135,in,slow
136,in,slow
137,in,slow
138,in,fast
139,in,fast
140,in,fast
141,in,fast
142,in,fast
143,in,focus
144,in,fast
145,in,fast
146,in,fast
147,in,fast
148,in,fast
149,in,fast
150,in,focus
151,in,fast
152,in,fast
153,in,fast
154,in,fast
155,in,fast
156,in,fast
157,in,fast
158,in,fast
159,in,fast
160,in,fast
161,in,fast
162,in,fast
163,in,fast
164,in,fast
165,in,fast
166,in,focus
167,in,focus
168,in,focus
169,in,focus
170,in,focus
171,in,focus
172,in,focus
173,in,focus
174,in,fast
175,in,fast
176,in,focus
177,in,focus
178,in,focus
179,in,focus
180,in,focus
181,in,focus
182,in,focus
183,in,focus
184,in,focus
185,in,focus
186,in,focus
187,in,fast
188,in,fast
189,in,stop
190,in,stop
191,in,fast
192,in,fast
193,in,fast
194,in,fast
195,in,focus
196,in,focus
197,in,focus
198,in,focus
199,in,focus
200,in,focus
201,in,focus
202,in,focus
203,in,focus
204,in,fast
205,in,fast
206,in,fast
207,in,fast
208,in,stop
209,in,stop
210,in,stop
211,in,stop
212,in,stop
213,in,stop
214,in,stop
215,in,stop
216,in,focus
217,in,focus
218,in,focus
219,in,focus
220,in,focus
221,in,focus
222,in,focus
223,in,focus
224,in,focus
225,in,focus
226,in,slow
227,in,slow
228,in,slow
229,in,slow
230,in,slow
231,in,slow
232,in,slow
233,in,slow
234,in,slow
235,in,slow
236,in,stop
237,in,stop
238,in,stop
239,in,stop
240,in,stop
241,in,stop
242,in,fast
243,in,fast
244,in,fast
245,in,fast
246,in,fast
247,in,fast
248,in,fast
249,in,fast
250,in,fast
251,in,fast
252,in,fast
253,in,fast
254,in,fast
255,in,fast
256,in,fast
257,in,fast
258,in,fast
259,in,fast
260,in,fast
261,in,fast
262,in,fast
263,in,fast
264,in,fast
265,in,fast
266,in,fast
267,in,fast
268,in,fast
269,in,fast
270,in,fast
271,in,fast
272,in,fast
273,in,fast
274,in,fast
275,in,fast
276,in,fast
277,in,fast
278,in,fast
279,in,fast
280,in,fast
281,in,fast
282,in,focus
283,in,focus
284,in,fast
285,in,fast
286,in,fast
287,in,fast
288,in,fast
289,in,fast
290,in,fast
291,in,stop
292,in,stop
293,in,stop
294,in,stop
295,in,fast
296,in,fast
297,in,fast
298,in,fast
299,in,fast
300,in,fast
301,in,fast
302,in,fast
303,in,fast
304,in,fast
305,in,fast
306,in,fast
307,in,fast
308,in,fast
309,in,fast
310,in,fast
311,in,stop
312,in,stop
313,in,stop
314,in,stop
315,in,stop
316,in,stop
317,in,focus
318,in,focus
319,in,focus
320,in,focus
321,in,focus
322,in,focus
323,in,focus
324,in,focus
325,in,focus
326,in,focus
327,in,focus
328,in,fast
329,in,fast
330,in,fast
331,in,fast
332,in,fast
333,in,fast
334,in,fast
335,in,stop
336,in,stop
337,in,stop
338,in,stop
339,in,stop
340,in,back_to_op
341,in,back_to_op
342,out,back_to_op
343,out,back_to_op
344,out,back_to_op
345,out,back_to_op
346,out,back_to_op
347,out,back_to_op
348,out,back_to_op
349,out,back_to_op
350,out,back_to_op
351,out,back_to_op
352,out,back_to_op
353,out,back_to_op
354,out,back_to_op
355,out,back_to_op
356,out,back_to_op
357,out,back_to_op
358,out,back_to_op
359,out,back_to_op
360,out,back_to_op
361,out,back_to_op
362,out,back_to_op
363,out,back_to_op
364,out,back_to_op
365,out,back_to_op
366,out,back_to_op
367,out,back_to_op
368,out,back_to_op
369,out,back_to_op
370,out,back_to_op
371,out,back_to_op
372,out,back_to_op
373,out,with_op
374,out,fast
375,out,fast
376,out,fast
377,out,fast
378,out,fast
379,out,fast
380,out,fast
381,out,fast
382,out,fast
383,out,fast
384,out,fast
385,out,fast
386,out,fast
387,out,fast
388,out,fast
389,out,fast
390,out,fast
391,out,fast
392,out,fast
393,out,fast
394,out,fast
395,out,fast
396,out,fast
397,out,fast
398,out,fast
399,out,fast
400,out,fast
401,out,fast
402,out,focus
403,out,focus
404,out,fast
405,out,fast
406,out,fast
407,out,fast
408,out,fast
409,out,fast
410,out,fast
411,out,fast
412,out,fast
413,out,fast
414,out,fast
415,out,fast
416,out,fast
417,out,fast
418,out,fast
419,out,fast
420,out,fast
421,out,fast
422,out,fast
423,out,fast
424,out,fast
425,out,fast
426,out,fast
427,out,focus
428,out,focus
429,out,focus
430,out,focus
431,out,obstacle
432,out,obstacle
433,out,obstacle
434,out,obstacle
435,out,obstacle
436,out,obstacle
437,out,obstacle
438,out,obstacle
439,out,obstacle
440,out,obstacle
441,out,obstacle
442,out,obstacle
443,out,obstacle
444,out,obstacle
445,out,obstacle
446,in,fast
447,in,fast
448,in,fast
449,in,fast
450,in,fast
451,in,fast
452,in,fast
453,in,fast
454,in,fast
455,in,stop
456,in,fast
457,in,fast
458,in,fast
459,in,fast
460,in,fast
461,in,fast
462,in,fast
463,in,focus
464,in,fast
465,in,fast
466,in,fast
467,in,stop
468,in,stop
469,in,focus
470,in,fast
471,in,fast
472,in,fast
473,in,focus
474,in,focus
475,in,premark
476,in,premark
477,in,premark
478,in,mark
479,in,mark
480,in,mark
481,in,mark
482,in,mark
483,in,mark
484,in,mark
485,in,mark
486,in,mark
487,in,mark
488,in,between
489,in,mark
490,in,mark
491,in,mark
492,in,mark
493,in,mark
494,in,mark
495,in,mark
496,in,mark
497,in,mark
498,in,mark
499,in,mark
500,in,mark
501,in,mark
502,in,mark
503,in,mark
504,in,mark
505,in,mark
506,in,mark
507,in,mark
508,in,mark
509,in,mark
510,in,mark
511,in,mark
512,in,mark
513,in,mark
514,in,mark
515,in,mark
516,in,mark
517,in,mark
518,in,mark
519,in,mark
520,in,between
521,in,between
522,in,mark
523,in,mark
524,in,mark
525,in,mark
526,in,between
527,in,mark
528,in,mark
529,in,mark
530,in,mark
531,in,mark
532,in,mark
533,in,mark
534,in,mark
535,in,mark
536,in,mark
537,in,mark
538,in,mark
539,in,between
540,in,between
541,in,mark
542,in,mark
543,in,mark
544,in,mark
545,in,mark
546,in,mark
547,in,mark
548,in,mark
549,in,mark
550,in,mark
551,in,between
552,in,between
553,in,mark
554,in,mark
555,in,mark
556,in,mark
557,in,mark
558,in,mark
559,in,mark
560,in,mark
561,in,mark
562,in,mark
563,in,mark
564,in,between
565,in,between
566,in,mark
567,in,mark
568,in,mark
569,in,mark
570,in,between
571,in,between
572,in,between
573,in,between
574,in,mark
575,in,mark
576,in,mark
577,in,mark
578,in,mark
579,in,mark
580,in,mark
