time,where,behavior
3,out,fast
4,out,fast
5,out,fast
6,out,fast
7,out,fast
8,out,fast
9,out,fast
10,out,stop
11,out,fast
12,out,fast
13,out,fast
14,out,fast
15,out,fast
16,out,fast
17,out,fast
18,out,fast
19,out,fast
20,out,fast
21,out,fast
22,out,fast
23,out,fast
24,in,fast
25,in,fast
26,in,fast
27,in,fast
28,in,fast
29,in,fast
30,in,fast
31,in,fast
32,in,fast
33,in,fast
34,in,fast
35,in,fast
36,in,fast
37,in,fast
38,in,fast
39,in,fast
40,in,fast
41,in,fast
42,in,fast
43,in,fast
44,in,fast
45,in,focus
46,in,focus
47,in,focus
48,in,focus
49,in,fast
50,in,fast
51,in,fast
52,in,fast
53,in,fast
54,in,fast
55,in,fast
56,in,fast
57,in,fast
58,in,fast
59,in,fast
60,in,fast
61,in,focus
62,in,focus
63,in,focus
64,in,focus
65,in,focus
66,in,focus
67,in,focus
68,in,focus
69,in,focus
70,in,premark
71,in,mark
72,in,mark
73,in,mark
74,in,mark
75,in,mark
76,in,mark
77,in,between
78,in,mark
79,in,mark
80,in,between
81,in,between
82,in,between
83,in,mark
84,in,mark
85,in,mark
86,in,mark
87,in,mark
88,in,mark
89,in,mark
90,in,mark
91,in,back_to_op
92,in,back_to_op
