time,where,behavior
3,out,fast
4,out,fast
5,out,fast
6,out,fast
7,out,fast
8,out,fast
9,out,focus
10,out,fast
11,out,fast
12,out,fast
13,out,fast
14,out,fast
15,out,fast
16,out,fast
17,out,fast
18,in,fast
19,in,fast
20,in,fast
21,in,fast
22,in,fast
23,in,fast
24,in,focus
25,in,fast
26,in,fast
27,in,fast
28,in,fast
29,in,fast
30,in,fast
31,in,stop
32,in,fast
33,in,fast
34,in,fast
35,in,fast
36,in,fast
37,in,fast
38,in,fast
39,in,fast
40,in,fast
41,in,fast
42,in,fast
43,in,fast
44,in,fast
45,in,fast
46,in,stop
47,in,fast
48,in,fast
49,in,fast
50,in,fast
51,in,fast
52,in,fast
53,in,fast
54,in,focus
55,in,fast
56,in,fast
57,in,fast
58,in,fast
59,in,fast
60,in,fast
61,in,fast
62,in,fast
63,in,fast
64,in,fast
65,in,fast
66,in,focus
67,in,focus
68,in,fast
69,in,fast
70,in,fast
71,in,fast
72,in,fast
73,in,fast
74,in,fast
75,in,fast
76,in,fast
77,in,focus
78,in,slow
79,in,slow
80,in,slow
81,in,focus
82,in,focus
83,in,focus
84,in,slow
85,in,slow
86,in,slow
87,in,slow
88,in,slow
89,in,slow
90,in,slow
91,in,slow
92,in,slow
93,in,slow
94,in,slow
95,in,stop
96,in,slow
97,in,slow
98,in,slow
99,in,slow
100,in,slow
101,in,slow
102,in,slow
103,in,slow
104,in,slow
105,in,stop
106,in,fast
107,in,fast
108,in,fast
109,in,fast
110,in,fast
111,in,fast
112,in,fast
113,in,fast
114,out,fast
115,out,stop
116,out,stop
117,out,stop
118,out,stop
119,out,stop
120,out,focus
121,out,fast
122,out,fast
123,out,fast
124,out,fast
125,out,fast
126,out,fast
127,out,focus
128,out,focus
129,in,fast
130,in,fast
131,in,fast
132,in,fast
133,in,focus
134,in,focus
135,out,fast
136,out,fast
137,out,fast
138,out,stop
139,out,stop
140,out,stop
141,out,fast
142,in,fast
143,in,fast
144,in,fast
145,in,focus
146,in,focus
147,in,fast
148,out,fast
149,out,focus
150,out,focus
151,out,fast
152,out,fast
153,out,fast
154,out,fast
155,out,fast
156,out,fast
157,out,fast
158,out,fast
159,out,fast
160,out,fast
161,out,focus
162,out,focus
163,out,fast
164,out,fast
165,out,fast
166,out,focus
167,in,fast
168,in,slow
169,in,slow
170,in,slow
171,in,slow
172,in,slow
173,in,focus
174,in,premark
175,in,mark
176,in,mark
177,in,mark
178,in,mark
179,in,between
180,in,mark
181,in,mark
182,in,mark
183,in,between
184,in,mark
185,in,mark
186,in,mark
187,in,mark
188,in,mark
189,in,mark
190,in,mark
191,in,mark
192,in,mark
193,in,mark
194,in,mark
195,in,mark
196,in,mark
197,in,mark
198,in,mark
199,in,between
200,in,mark
201,in,mark
202,in,mark
203,in,mark
204,in,premark
205,in,mark
206,in,mark
207,in,back_to_op
